25,4,25,2,22,26,26,3,22,27,32,23,23,24,29,
21,26,4,24,28,24,2,26,28,27,22,30,32,4,25,
4,30,27,23,27,1,26,29,4,25,3,1,27,31,23,
23,29,30,27,25,2,24,30,25,26,27,28,1,21,29,
30,25,26,22,28,3,21,4,32,24,23,21,30,30,1,
22,23,21,24,4,27,27,3,2,27,4,23,26,4,4,
3,27,24,26,2,31,1,23,26,24,25,4,23,29,1,
0,28,23,3,21,25,27,31,29,26,29,29,26,22,0,
30,3,3,4,1,23,29,1,24,23,27,21,24,22,29,
26,22,28,25,1,1,26,28,32,25,30,25,24,22,30,
25,2,30,26,32,23,30,2,32,24,29,29,21,32,22,
26,21,26,22,4,32,24,32,25,4,1,24,24,24,1,
27,4,22,28,32,4,27,31,27,22,3,4,21,1,31,
29,24,23,24,3,1,25,3,24,27,32,1,21,24,27,
1,22,26,3,30,4,30,0,23,28,1,29,1,27,2
